id,admin_user_id,name,address,locality,region,country,administrative_area_level_1,administrative_area_level_2,international_phone_number,fax_numbers,fax_keywords_en,fax_keywords_fr,ramq_code,ramq_billing_categories,type,website,latitude,longitude,added_time,place_type,is_fax_enabled
ChIJ--1CqRoZyUwRQ9KCRE8Vkvg,,CLINIQUE MEDICALE BHUMI,"202-5858 CH DE LA COTE-DES-NEIGES, MONTREAL, QC, H3S 1Z1",Montréal,Montreal,CA,QC,H3S 1Z1,+15147966844,15145485062,"[{""fax_number"": ""15145485062"", ""keyword_en"": ""general clinic fax""}, {""fax_number"": ""15145485062"", ""keyword_en"": ""general clinic fax""}]","[{""fax_number"": ""15145485062"", ""keyword_fr"": ""dossiers médicaux""}, {""fax_number"": ""15145485062"", ""keyword_fr"": ""dossiers médicaux""}]",55990,,hospital,https://www.bhumimedical.ca/,45.49961539999999,-73.6298181,1745808471,hospital,0
ChIJ-019cmwbyUwRCZGVJvVl_DE,,KLAR VISION GRIFFINTOWN,"1120 RUE WELLINGTON, MONTREAL, QC, H3C 1V8",Montréal,Montreal,CA,QC,H3C 1V8,+15143701188,"15147689240,15147663353","[{""fax_number"": ""15147689240"", ""keyword_en"": ""referrals""}, {""fax_number"": ""15147663353"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""15147689240"", ""keyword_fr"": ""r\u00e9f\u00e9rences""}, {""fax_number"": ""15147663353"", ""keyword_fr"": ""renseignements g\u00e9n\u00e9raux""}]",52354;53908,,hospital,https://www.klarvision.ca/,45.4926095,-73.55755669999999,1745808471,hospital,0
ChIJ-0PtCVorz0wR_Pa_Wq22Ufs,,CLINIQUE I.D.,"106-200 RUE DURAND, SAINT-JEROME, QC, J7Z 7E2",Saint-Jérôme,Laurentides,CA,QC,J7Z 7E2,+14504367173,15799950066,"[{""fax_number"": ""15799950066"", ""keyword_en"": ""medical records""}]","[{""fax_number"": ""15799950066"", ""keyword_fr"": ""dossiers médicaux""}]",57110,,hospital,https://urologue.ca/,45.7668026,-74.00157759999999,1745790598,hospital,0
ChIJ-0PtCVorz0wRuz3KKfQE_KE,,CLINIQUE PEDIATRIQUE LAURENTIENNE,"106-200 RUE DURAND, SAINT-JEROME, QC, J7Z 7E2",Saint-Jérôme,Laurentides,CA,QC,J7Z 7E2,+14504381241,14504383501,"[{""fax_number"": ""14504383501"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14504383501"", ""keyword_fr"": ""renseignements généraux""}]",56103,,hospital,,45.7667885,-74.0015521,1745790598,hospital,0
ChIJ-0SYifhsyUwRw4jcjzRtId0,,COOPERATIVE SOLIDARITE SANTE ST-ISIDORE,"8-640 RUE ST-REGIS, SAINT-ISIDORE, QC, J0L 2A0",Saint-Isidore-de-Laprairie,Monteregie,CA,QC,J0L 2A0,+14509920558,14509920611,"[{""fax_number"": ""14509920611"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14509920611"", ""keyword_fr"": ""renseignements généraux""}]",55476,,hospital,http://www.coopsantesaintisidore.org/,45.3017955,-73.6807889,1745808471,hospital,0
ChIJ-0d75FNHvkwRJe4ms8F-9lc,,GMF LAFONTAINE,"242 LAFONTAINE, RIVIERE-DU-LOUP, QC, G5R 3A7",Rivière-du-Loup,Bas Saint Laurent,CA,QC,G5R 2V3,+14188623110,14188629656,"[{""fax_number"": ""14188629656"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14188629656"", ""keyword_fr"": ""renseignements généraux""}]",54046,,hospital,https://www.gmflafontaine.com/,47.8328828,-69.53458429999999,1745790598,hospital,0
ChIJ-0ham64QzEwRd7V6MMHunUY,,DANIELLE DUBUC O.D.,"PARK KANATAKON DISTRICT ST, AKWESASNE, QC, H0M 1A0",Cornwall,Monteregie,CA,ON,K6H 1B1,+16139326634,"16139361755,16135751389","[{""fax_number"": ""16139361755"", ""keyword_en"": ""usage g\u00e9n\u00e9ral pour centre de soins oculaires Dubuc""}, {""fax_number"": ""16135751389"", ""keyword_en"": ""medical records""}]","[{""fax_number"": ""16139361755"", ""keyword_fr"": ""dossiers médicaux""}, {""fax_number"": ""16135751389"", ""keyword_fr"": ""dossiers médicaux""}]",53031,,hospital,https://dubuceyecare.ca/,45.0184894,-74.7160097,1745790598,hospital,0
ChIJ-0npz8EFyUwR31YCxbJXVOo,,OPTICA ST-HUBERT,"5959 BOUL PAYER, SAINT-HUBERT, QC, J3Y 6W6",Longueuil,Monteregie,CA,QC,J3Y 6W6,+14509262124,14509262139,"[{""fax_number"": ""14509262139"", ""keyword_en"": ""communications administratives g\u00e9n\u00e9rales""}]","[{""fax_number"": ""14509262139"", ""keyword_fr"": ""communications administratives générales""}]",52995,,hospital,https://opticast-hubert.com/,45.475829,-73.429818,1745790598,hospital,0
ChIJ-18mgA8kyUwRiD3JCOB1Jpg,,POLYCLINIQUE MEDICALE FABREVILLE,"380 BOUL CURE-LABELLE, FABREVILLE, QC, H7P 5L3",Laval,Laval,CA,QC,H7P 5L3,+14506285800,"14509632722,14506280217","[{""fax_number"": ""14506280217"", ""keyword_en"": ""communications m\u00e9dicales g\u00e9n\u00e9rales""}, {""fax_number"": ""14509632722"", ""keyword_en"": ""communications related to pharmaceutical services""}]","[{""fax_number"": ""14506280217"", ""keyword_fr"": ""communications m\u00e9dicales g\u00e9n\u00e9rales""}, {""fax_number"": ""14509632722"", ""keyword_fr"": ""renseignements g\u00e9n\u00e9raux""}]",52401;54222,,hospital,https://cliniquefabreville.com/,45.5764601,-73.7866738,1745790598,hospital,0
ChIJ-2SdWhMiyUwRFo6hO9lR25c,,CRDI-TSA DE LAVAL,"304 BOUL CARTIER O, LAVAL, QC, H7N 2J2",Laval,Laval,CA,QC,H7N 2J2,+14509722099,"14506880421,14506224709","[{""fax_number"": ""14506224709"", ""keyword_en"": ""referrals""}, {""fax_number"": ""14506880421"", ""keyword_en"": ""referrals""}]","[{""fax_number"": ""14506224709"", ""keyword_fr"": ""références""}, {""fax_number"": ""14506880421"", ""keyword_fr"": ""références""}]",11213,,hospital,http://www.lavalensante.com/,45.554326,-73.699087,1745790598,hospital,0
ChIJ-2h0eAoAyUwR7atZk4wsooI,,SIGNATURE ROBERT CLOUTIER,"400-4517 RTE FOSSAMBAULT, STE-CATHERINE-DE-LA-JACQUES-CARTIER, QC, G3N 1S3",Saint-Mathieu-de-Beloeil,Capitale Nationale,CA,QC,J3G 5W9,+14504465250,14504464393,"[{""fax_number"": ""14504464393"", ""keyword_en"": ""affaires g\u00e9n\u00e9rales/administration""}]","[{""fax_number"": ""14504464393"", ""keyword_fr"": ""administration""}]",53105,,pharmacy,https://www.robertcloutierautos.com/,45.583832,-73.28126499999999,1745790598,clinic,0
ChIJ-4kClK0byUwRgBdOqIIumjM,,SANTE CANNABIS MONTREAL,"225-4150 SAINTE-CATHERINE O, WESTMOUNT, QC, H3Z 2Y5",Westmount,Montreal,CA,QC,H3Z 2Y5,+15144194131,18447141181,"[{""fax_number"": ""18447141181"", ""keyword_en"": ""medical records""}]","[{""fax_number"": ""18447141181"", ""keyword_fr"": ""dossiers médicaux""}]",55932,,hospital,http://www.santecannabis.ca/,45.4865386,-73.5872208,1745808471,hospital,0
ChIJ-5Dm8uYwuEwRZLIsZr5-RKY,,LUNETTERIE NEWLOOK,"120-222 BOUL FRONTENAC O, THETFORD MINES, QC, G6G 6N7",Thetford Mines,Chaudiere Appalaches,CA,QC,G6G 6N7,+14183352363,14183355220,"[{""fax_number"": ""14183355220"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""14183355220"", ""keyword_fr"": ""renseignements généraux""}]",52129,,hospital,https://locations.newlook.ca/quebec-thetford-mines-092?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=newlook-92,46.10062660000001,-71.3155589,1745790598,hospital,0
ChIJ-5F308GryUwRbO8iWHKM5J0,,CLINIQUE D'HYGIENE DENTAIRE - FLEUR DE LYS,"200-2860 BOUL LAFRAMBOISE, SAINT-HYACINTHE, QC, J2S 4Z1",Saint-Hyacinthe,Monteregie,CA,QC,J2S 4Z1,+14505132056,,[],[],51020,,hospital,https://www.fleurdelyshd.com/fr,45.6341413,-72.962232,1745790598,hospital,0
ChIJ-5ZvQPeKz0wRUqHogtFaJXI,,"VISION MARIETTE DORVAL, OPTOMETRISTE","7 DU PONT, RIVIERE-ROUGE, QC, J0T 1T0",Rivière-Rouge,Laurentides,CA,QC,J0T 1T0,+18192752211,14506631377,"[{""fax_number"": ""14506631377"", ""keyword_en"": ""bureau g\u00e9n\u00e9ral/administration""}]","[{""fax_number"": ""14506631377"", ""keyword_fr"": ""dossiers médicaux""}]",52502,,hospital,https://visique.com/pages/grimard-riviere-rouge,46.4112583,-74.87051989999999,1745790598,hospital,0
